Order,"PY Plan","CY Plan","Product Type","SNP Type",Combo,Priority,State,County,StateCounty,FIPS,Premium,Membership,Lookup,Rank
3,R7315-001-000,R7315-001-000,RPPO,Non-SNP,RPPO|Non-SNP,"2 - PPO",Alabama,Autauga,Alabama-Autauga,01001,0,22,R7315-001-000AlabamaAutauga,1,150
4,R7315-002-000,R7315-002-000,RPPO,Non-SNP,RPPO|Non-SNP,"2 - PPO",Alabama,Autauga,Alabama-Autauga,01001,85,16,R7315-002-000AlabamaAutauga,2,140
8,R7315-002-000,R7315-002-000,RPPO,Non-SNP,RPPO|Non-SNP,"2 - PPO",Alabama,Baldwin,Alabama-Baldwin,01003,85,112,R7315-002-000AlabamaBaldwin,1,150
9,R7315-001-000,R7315-001-000,RPPO,Non-SNP,RPPO|Non-SNP,"2 - PPO",Alabama,Baldwin,Alabama-Baldwin,01003,0,106,R7315-001-000AlabamaBaldwin,2,140
12,R7315-002-000,R7315-002-000,RPPO,Non-SNP,RPPO|Non-SNP,"2 - PPO",Alabama,Barbour,Alabama-Barbour,01005,85,55,R7315-002-000AlabamaBarbour,1,150
13,R7315-001-000,R7315-001-000,RPPO,Non-SNP,RPPO|Non-SNP,"2 - PPO",Alabama,Barbour,Alabama-Barbour,01005,0,44,R7315-001-000AlabamaBarbour,2,140
17,R7315-001-000,R7315-001-000,RPPO,Non-SNP,RPPO|Non-SNP,"2 - PPO",Alabama,Bibb,Alabama-Bibb,01007,0,0,R7315-001-000AlabamaBibb,1,150
18,R7315-002-000,R7315-002-000,RPPO,Non-SNP,RPPO|Non-SNP,"2 - PPO",Alabama,Bibb,Alabama-Bibb,01007,85,0,R7315-002-000AlabamaBibb,2,140
20,R7315-002-000,R7315-002-000,RPPO,Non-SNP,RPPO|Non-SNP,"2 - PPO",Alabama,Blount,Alabama-Blount,01009,85,25,R7315-002-000AlabamaBlount,1,150
21,R7315-001-000,R7315-001-000,RPPO,Non-SNP,RPPO|Non-SNP,"2 - PPO",Alabama,Blount,Alabama-Blount,01009,0,12,R7315-001-000AlabamaBlount,2,140
25,R7315-001-000,R7315-001-000,RPPO,Non-SNP,RPPO|Non-SNP,"2 - PPO",Alabama,Bullock,Alabama-Bullock,01011,0,0,R7315-001-000AlabamaBullock,1,150
